t,count
1621086840,0
1621086841,0
1621086842,0
1621086843,0
1621086844,0
1621086845,0
1621086846,0
1621086847,0
1621086848,0
1621086849,0
1621086850,0
1621086851,0
1621086852,0
1621086853,0
1621086854,0
1621086855,0
1621086856,0
1621086857,0
1621086858,0
1621086859,0
1621086860,0
1621086861,0
1621086862,0
1621086863,0
1621086864,0
1621086865,0
1621086866,0
1621086867,0
1621086868,0
1621086869,0
1621086870,0
1621086871,0
1621086872,0
1621086873,0
1621086874,0
1621086875,0
1621086876,0
1621086877,0
1621086878,0
1621086879,0
1621086880,0
1621086881,0
1621086882,0
1621086883,0
1621086884,0
1621086885,0
1621086886,0
1621086887,0
1621086888,0
1621086889,0
1621086890,0
1621086891,0
1621086892,0
1621086893,0
1621086894,0
1621086895,0
1621086896,0
1621086897,0
1621086898,0
1621086899,0
1621086900,0
1621086901,0
1621086902,0
1621086903,0
1621086904,0
1621086905,0
1621086906,0
1621086907,0
1621086908,0
1621086909,0
1621086910,0
1621086911,0
1621086912,0
1621086913,0
1621086914,0
1621086915,0
1621086916,0
1621086917,0
1621086918,0
1621086919,0
1621086920,0
1621086921,0
1621086922,0
1621086923,0
1621086924,0
1621086925,0
1621086926,0
1621086927,0
1621086928,0
1621086929,0
1621086930,0
1621086931,0
1621086932,0
1621086933,0
1621086934,0
1621086935,0
1621086936,0
1621086937,0
1621086938,0
1621086939,0
1621086940,0
1621086941,0
1621086942,0
1621086943,0
1621086944,0
1621086945,0
1621086946,0
1621086947,0
1621086948,0
1621086949,0
1621086950,0
1621086951,0
1621086952,0
1621086953,0
1621086954,0
1621086955,0
1621086956,0
1621086957,0
1621086958,0
1621086959,0
1621086960,0
1621086961,0
1621086962,0
1621086963,0
1621086964,0
1621086965,0
1621086966,0
1621086967,0
1621086968,0
1621086969,0
1621086970,0
1621086971,0
1621086972,0
1621086973,0
1621086974,0
1621086975,0
1621086976,0
1621086977,0
1621086978,0
1621086979,0
1621086980,0
1621086981,0
1621086982,0
1621086983,0
1621086984,0
1621086985,0
1621086986,0
1621086987,0
1621086988,0
1621086989,0
1621086990,0
1621086991,0
1621086992,0
1621086993,0
1621086994,0
1621086995,0
1621086996,0
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,0
1621086653,0
1621086654,0
1621086655,0
1621086656,0
1621086657,0
1621086658,0
1621086659,0
1621086660,0
1621086661,0
1621086662,0
1621086663,0
1621086664,0
1621086665,0
1621086666,0
1621086667,0
1621086668,0
1621086669,0
1621086670,0
1621086671,0
1621086672,0
1621086673,0
1621086674,0
1621086675,0
1621086676,0
1621086677,0
1621086678,0
1621086679,0
1621086680,0
1621086681,0
1621086682,0
1621086683,0
1621086684,0
1621086685,0
1621086686,0
1621086687,0
1621086688,0
1621086689,0
1621086690,0
1621086691,0
1621086692,0
1621086693,0
1621086694,0
1621086695,0
1621086696,0
1621086697,0
1621086698,0
1621086699,0
1621086700,0
1621086701,0
1621086702,0
1621086703,0
1621086704,0
1621086705,0
1621086706,0
1621086707,0
1621086708,0
1621086709,0
1621086710,0
1621086711,0
1621086712,0
1621086713,0
1621086714,0
1621086715,0
1621086716,0
1621086717,0
1621086718,0
1621086719,0
1621086720,0
1621086721,0
1621086722,0
1621086723,0
1621086724,0
1621086725,0
1621086726,0
1621086727,0
1621086728,0
1621086729,0
1621086730,0
1621086731,0
1621086732,0
1621086733,0
1621086734,0
1621086735,0
1621086736,0
1621086737,0
1621086738,0
1621086833,0
1621086834,0
1621086835,0
1621086836,0
1621086837,0
1621086838,0
1621086839,0
1621086840,0
1621086841,0
1621086842,0
1621086843,0
1621086844,0
1621086845,0
1621086846,0
1621086847,0
1621086848,0
1621086849,0
1621086850,0
1621086851,0
1621086852,0
1621086853,0
1621086854,0
1621086855,0
1621086856,0
1621086857,0
1621086858,0
1621086859,0
1621086860,0
1621086861,0
1621086862,0
1621086863,0
1621086864,0
1621086865,0
1621086866,0
1621086867,0
1621086868,0
1621086869,0
1621086870,0
1621086871,0
1621086872,0
1621086873,0
1621086874,0
1621086875,0
1621086876,0
1621086877,0
1621086878,0
1621086879,0
1621086880,0
1621086881,0
1621086882,0
1621086883,0
1621086884,0
1621086885,0
1621086886,0
1621086887,0
1621086888,0
1621086889,0
1621086890,0
1621086891,0
1621086892,0
1621086893,0
1621086894,0
1621086895,0
1621086896,0
1621086897,0
1621086898,0
1621086899,0
1621086900,0
1621086901,0
1621086902,0
1621086903,0
1621086904,0
1621086905,0
1621086906,0
1621086907,0
1621086908,0
1621086909,0
1621086910,0
1621086911,0
1621086912,0
1621086913,0
1621086914,0
1621086915,0
1621086916,0
1621086917,0
1621086918,0
1621086919,0
1621086920,0
1621086921,0
1621086922,0
1621086923,0
1621086924,0
1621086925,0
1621086926,0
1621086927,0
1621086928,0
1621086929,0
1621086930,0
1621086931,0
1621086932,0
1621086933,0
1621086934,0
1621086935,0
1621086936,0
1621086937,0
1621086938,0
1621086939,0
1621086940,0
1621086941,0
1621086942,0
1621086943,0
1621086944,0
1621086945,0
1621086946,0
1621086947,0
1621086948,0
1621086949,0
1621086950,0
1621086951,0
1621086952,0
1621086953,0
1621086954,0
1621086955,0
1621086956,0
1621086957,0
1621086958,0
1621086959,0
1621086960,0
1621086961,0
1621086962,0
1621086963,0
1621086964,0
1621086965,0
1621086966,0
1621086967,0
1621086968,0
1621086969,0
1621086970,0
1621086971,0
1621086972,0
1621086973,0
1621086974,0
1621086975,0
1621086976,0
1621086977,0
1621086978,0
1621086979,0
1621086980,0
1621086981,0
1621086982,0
1621086983,0
1621086984,0
1621086985,0
1621086986,0
1621086987,0
1621086988,0
1621086989,0
1621086990,0
1621086991,0
1621086992,0
1621086993,0
1621086994,0
1621086995,0
1621086996,0
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,0
1621086653,0
1621086654,0
1621086655,0
1621086656,0
1621086657,0
1621086658,0
1621086659,0
1621086660,0
1621086661,0
1621086662,0
1621086663,0
1621086664,0
1621086665,0
1621086666,0
1621086667,0
1621086668,0
1621086669,0
1621086670,0
1621086671,0
1621086672,0
1621086673,0
1621086674,0
1621086675,0
1621086676,0
1621086677,0
1621086678,0
1621086679,0
1621086680,0
1621086681,0
1621086682,0
1621086683,0
1621086684,0
1621086685,0
1621086686,0
1621086687,0
1621086688,0
1621086689,0
1621086690,0
1621086691,0
1621086692,0
1621086693,0
1621086694,0
1621086695,0
1621086696,0
1621086697,0
1621086698,0
1621086699,0
1621086700,0
1621086701,0
1621086702,0
1621086703,0
1621086704,0
1621086705,0
1621086706,0
1621086707,0
1621086708,0
1621086709,0
1621086710,0
1621086711,0
1621086712,0
1621086713,0
1621086714,0
1621086715,0
1621086716,0
1621086717,0
1621086718,0
1621086719,0
1621086720,0
1621086721,0
1621086722,0
1621086723,0
1621086724,0
1621086725,0
1621086726,0
1621086727,0
1621086728,0
1621086729,0
1621086730,0
1621086731,0
1621086732,0
1621086733,0
1621086734,0
1621086735,0
1621086736,0
1621086737,0
1621086738,0
1621086833,0
1621086834,0
1621086835,0
1621086836,0
1621086837,0
1621086838,0
1621086839,0
1621086840,0
1621086841,0
1621086842,0
1621086843,0
1621086844,0
1621086845,0
1621086846,0
1621086847,0
1621086848,0
1621086849,0
1621086850,0
1621086851,0
1621086852,0
1621086853,0
1621086854,0
1621086855,0
1621086856,0
1621086857,0
1621086858,0
1621086859,0
1621086860,0
1621086861,0
1621086862,0
1621086863,0
1621086864,0
1621086865,0
1621086866,0
1621086867,0
1621086868,0
1621086869,0
1621086870,0
1621086871,0
1621086872,0
1621086873,0
1621086874,0
1621086875,0
1621086876,0
1621086877,0
1621086878,0
1621086879,0
1621086880,0
1621086881,0
1621086882,0
1621086883,0
1621086884,0
1621086885,0
1621086886,0
1621086887,0
1621086888,0
1621086889,0
1621086890,0
1621086891,0
1621086892,0
1621086893,0
1621086894,0
1621086895,0
1621086896,0
1621086897,0
1621086898,0
1621086899,0
1621086900,0
1621086901,0
1621086902,0
1621086903,0
1621086904,0
1621086905,0
1621086906,0
1621086907,0
1621086908,0
1621086909,0
1621086910,0
1621086911,0
1621086912,0
1621086913,0
1621086914,0
1621086915,0
1621086916,0
1621086917,0
1621086918,0
1621086919,0
1621086920,0
1621086921,0
1621086922,0
1621086923,0
1621086924,0
1621086925,0
1621086926,0
1621086927,0
1621086928,0
1621086929,0
1621086930,0
1621086931,0
1621086932,0
1621086933,0
1621086934,0
1621086935,0
1621086936,0
1621086937,0
1621086938,0
1621086939,0
1621086940,0
1621086941,0
1621086942,0
1621086943,0
1621086944,0
1621086945,0
1621086946,0
1621086947,0
1621086948,0
1621086949,0
1621086950,0
1621086951,0
1621086952,0
1621086953,0
1621086954,0
1621086955,0
1621086956,0
1621086957,0
1621086958,0
1621086959,0
1621086960,0
1621086961,0
1621086962,0
1621086963,0
1621086964,0
1621086965,0
1621086966,0
1621086967,0
1621086968,0
1621086969,0
1621086970,0
1621086971,0
1621086972,0
1621086973,0
1621086974,0
1621086975,0
1621086976,0
1621086977,0
1621086978,0
1621086979,0
1621086980,0
1621086981,0
1621086982,0
1621086983,0
1621086984,0
1621086985,0
1621086986,0
1621086987,0
1621086988,0
1621086989,0
1621086990,0
1621086991,0
1621086992,0
1621086993,0
1621086994,0
1621086995,0
1621086996,0
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,0
1621086653,0
1621086654,0
1621086655,0
1621086656,0
1621086657,0
1621086658,0
1621086659,0
1621086660,0
1621086661,0
1621086662,0
1621086663,0
1621086664,0
1621086665,0
1621086666,0
1621086667,0
1621086668,0
1621086669,0
1621086670,0
1621086671,0
1621086672,0
1621086673,0
1621086674,0
1621086675,0
1621086676,0
1621086677,0
1621086678,0
1621086679,0
1621086680,0
1621086681,0
1621086682,0
1621086683,0
1621086684,0
1621086685,0
1621086686,0
1621086687,0
1621086688,0
1621086689,0
1621086690,0
1621086691,0
1621086692,0
1621086693,0
1621086694,0
1621086695,0
1621086696,0
1621086697,0
1621086698,0
1621086699,0
1621086700,0
1621086701,0
1621086702,0
1621086703,0
1621086704,0
1621086705,0
1621086706,0
1621086707,0
1621086708,0
1621086709,0
1621086710,0
1621086711,0
1621086712,0
1621086713,0
1621086714,0
1621086715,0
1621086716,0
1621086717,0
1621086718,0
1621086719,0
1621086720,0
1621086721,0
1621086722,0
1621086723,0
1621086724,0
1621086725,0
1621086726,0
1621086727,0
1621086728,0
1621086729,0
1621086730,0
1621086731,0
1621086732,0
1621086733,0
1621086734,0
1621086735,0
1621086736,0
1621086737,0
1621086738,0
1621086833,0
1621086834,0
1621086835,0
1621086836,0
1621086837,0
1621086838,0
1621086839,0
1621086840,0
1621086841,0
1621086842,0
1621086843,0
1621086844,0
1621086845,0
1621086846,0
1621086847,0
1621086848,0
1621086849,0
1621086850,0
1621086851,0
1621086852,0
1621086853,0
1621086854,0
1621086855,0
1621086856,0
1621086857,0
1621086858,0
1621086859,0
1621086860,0
1621086861,0
1621086862,0
1621086863,0
1621086864,0
1621086865,0
1621086866,0
1621086867,0
1621086868,0
1621086869,0
1621086870,0
1621086871,0
1621086872,0
1621086873,0
1621086874,0
1621086875,0
1621086876,0
1621086877,0
1621086878,0
1621086879,0
1621086880,0
1621086881,0
1621086882,0
1621086883,0
1621086884,0
1621086885,0
1621086886,0
1621086887,0
1621086888,0
1621086889,0
1621086890,0
1621086891,0
1621086892,0
1621086893,0
1621086894,0
1621086895,0
1621086896,0
1621086897,0
1621086898,0
1621086899,0
1621086900,0
1621086901,0
1621086902,0
1621086903,0
1621086904,0
1621086905,0
1621086906,0
1621086907,0
1621086908,0
1621086909,0
1621086910,0
1621086911,0
1621086912,0
1621086913,0
1621086914,0
1621086915,0
1621086916,0
1621086917,0
1621086918,0
1621086919,0
1621086920,0
1621086921,0
1621086922,0
1621086923,0
1621086924,0
1621086925,0
1621086926,0
1621086927,0
1621086928,0
1621086929,0
1621086930,0
1621086931,0
1621086932,0
1621086933,0
1621086934,0
1621086935,0
1621086936,0
1621086937,0
1621086938,0
1621086939,0
1621086940,0
1621086941,0
1621086942,0
1621086943,0
1621086944,0
1621086945,0
1621086946,0
1621086947,0
1621086948,0
1621086949,0
1621086950,0
1621086951,0
1621086952,0
1621086953,0
1621086954,0
1621086955,0
1621086956,0
1621086957,0
1621086958,0
1621086959,0
1621086960,0
1621086961,0
1621086962,0
1621086963,0
1621086964,0
1621086965,0
1621086966,0
1621086967,0
1621086968,0
1621086969,0
1621086970,0
1621086971,0
1621086972,0
1621086973,0
1621086974,0
1621086975,0
1621086976,0
1621086977,0
1621086978,0
1621086979,0
1621086980,0
1621086981,0
1621086982,0
1621086983,0
1621086984,0
1621086985,0
1621086986,0
1621086987,0
1621086988,0
1621086989,0
1621086990,0
1621086991,0
1621086992,0
1621086993,0
1621086994,0
1621086995,0
1621086996,0
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,0
1621086653,0
1621086654,0
1621086655,0
1621086656,0
1621086657,0
1621086658,0
1621086659,0
1621086660,0
1621086661,0
1621086662,0
1621086663,0
1621086664,0
1621086665,0
1621086666,0
1621086667,0
1621086668,0
1621086669,0
1621086670,0
1621086671,0
1621086672,0
1621086673,0
1621086674,0
1621086675,0
1621086676,0
1621086677,0
1621086678,0
1621086679,0
1621086680,0
1621086681,0
1621086682,0
1621086683,0
1621086684,0
1621086685,0
1621086686,0
1621086687,0
1621086688,0
1621086689,0
1621086690,0
1621086691,0
1621086692,0
1621086693,0
1621086694,0
1621086695,0
1621086696,0
1621086697,0
1621086698,0
1621086699,0
1621086700,0
1621086701,0
1621086702,0
1621086703,0
1621086704,0
1621086705,0
1621086706,0
1621086707,0
1621086708,0
1621086709,0
1621086710,0
1621086711,0
1621086712,0
1621086713,0
1621086714,0
1621086715,0
1621086716,0
1621086717,0
1621086718,0
1621086719,0
1621086720,0
1621086721,0
1621086722,0
1621086723,0
1621086724,0
1621086725,0
1621086726,0
1621086727,0
1621086728,0
1621086729,0
1621086730,0
1621086731,0
1621086732,0
1621086733,0
1621086734,0
1621086735,0
1621086736,0
1621086737,0
1621086738,0
1621086833,0
1621086834,0
1621086835,0
1621086836,0
1621086837,0
1621086838,0
1621086839,0
1621086840,0
1621086841,0
1621086842,0
1621086843,0
1621086844,0
1621086845,0
1621086846,0
1621086847,0
1621086848,0
1621086849,0
1621086850,0
1621086851,0
1621086852,0
1621086853,0
1621086854,0
1621086855,0
1621086856,0
1621086857,0
1621086858,0
1621086859,0
1621086860,0
1621086861,0
1621086862,0
1621086863,0
1621086864,0
1621086865,0
1621086866,0
1621086867,0
1621086868,0
1621086869,0
1621086870,0
1621086871,0
1621086872,0
1621086873,0
1621086874,0
1621086875,0
1621086876,0
1621086877,0
1621086878,0
1621086879,0
1621086880,0
1621086881,0
1621086882,0
1621086883,0
1621086884,0
1621086885,0
1621086886,0
1621086887,0
1621086888,0
1621086889,0
1621086890,0
1621086891,0
1621086892,0
1621086893,0
1621086894,0
1621086895,0
1621086896,0
1621086897,0
1621086898,0
1621086899,0
1621086900,0
1621086901,0
1621086902,0
1621086903,0
1621086904,0
1621086905,0
1621086906,0
1621086907,0
1621086908,0
1621086909,0
1621086910,0
1621086911,0
1621086912,0
1621086913,0
1621086914,0
1621086915,0
1621086916,0
1621086917,0
1621086918,0
1621086919,0
1621086920,0
1621086921,0
1621086922,0
1621086923,0
1621086924,0
1621086925,0
1621086926,0
1621086927,0
1621086928,0
1621086929,0
1621086930,0
1621086931,0
1621086932,0
1621086933,0
1621086934,0
1621086935,0
1621086936,0
1621086937,0
1621086938,0
1621086939,0
1621086940,0
1621086941,0
1621086942,0
1621086943,0
1621086944,0
1621086945,0
1621086946,0
1621086947,0
1621086948,0
1621086949,0
1621086950,0
1621086951,0
1621086952,0
1621086953,0
1621086954,0
1621086955,0
1621086956,0
1621086957,0
1621086958,0
1621086959,0
1621086960,0
1621086961,0
1621086962,0
1621086963,0
1621086964,0
1621086965,0
1621086966,0
1621086967,0
1621086968,0
1621086969,0
1621086970,0
1621086971,0
1621086972,0
1621086973,0
1621086974,0
1621086975,0
1621086976,0
1621086977,0
1621086978,0
1621086979,0
1621086980,0
1621086981,0
1621086982,0
1621086983,0
1621086984,0
1621086985,0
1621086986,0
1621086987,0
1621086988,0
1621086989,0
1621086990,0
1621086991,0
1621086992,0
1621086993,0
1621086994,0
1621086995,0
1621086996,0
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,0
1621086653,0
1621086654,0
1621086655,0
1621086656,0
1621086657,0
1621086658,0
1621086659,0
1621086660,0
1621086661,0
1621086662,0
1621086663,0
1621086664,0
1621086665,0
1621086666,0
1621086667,0
1621086668,0
1621086669,0
1621086670,0
1621086671,0
1621086672,0
1621086673,0
1621086674,0
1621086675,0
1621086676,0
1621086677,0
1621086678,0
1621086679,0
1621086680,0
1621086681,0
1621086682,0
1621086683,0
1621086684,0
1621086685,0
1621086686,0
1621086687,0
1621086688,0
1621086689,0
1621086690,0
1621086691,0
1621086692,0
1621086693,0
1621086694,0
1621086695,0
1621086696,0
1621086697,0
1621086698,0
1621086699,0
1621086700,0
1621086701,0
1621086702,0
1621086703,0
1621086704,0
1621086705,0
1621086706,0
1621086707,0
1621086708,0
1621086709,0
1621086710,0
1621086711,0
1621086712,0
1621086713,0
1621086714,0
1621086715,0
1621086716,0
1621086717,0
1621086718,0
1621086719,0
1621086720,0
1621086721,0
1621086722,0
1621086723,0
1621086724,0
1621086725,0
1621086726,0
1621086727,0
1621086728,0
1621086729,0
1621086730,0
1621086731,0
1621086732,0
1621086733,0
1621086734,0
1621086735,0
1621086736,0
1621086737,0
1621086738,0
1621086833,0
1621086834,0
1621086835,0
1621086836,0
1621086837,0
1621086838,0
1621086839,0
1621086840,0
1621086841,0
1621086842,0
1621086843,0
1621086844,0
1621086845,0
1621086846,0
1621086847,0
1621086848,0
1621086849,0
1621086850,0
1621086851,0
1621086852,0
1621086853,0
1621086854,0
1621086855,0
1621086856,0
1621086857,0
1621086858,0
1621086859,0
1621086860,0
1621086861,0
1621086862,0
1621086863,0
1621086864,0
1621086865,0
1621086866,0
1621086867,0
1621086868,0
1621086869,0
1621086870,0
1621086871,0
1621086872,0
1621086873,0
1621086874,0
1621086875,0
1621086876,0
1621086877,0
1621086878,0
1621086879,0
1621086880,0
1621086881,0
1621086882,0
1621086883,0
1621086884,0
1621086885,0
1621086886,0
1621086887,0
1621086888,0
1621086889,0
1621086890,0
1621086891,0
1621086892,0
1621086893,0
1621086894,0
1621086895,0
1621086896,0
1621086897,0
1621086898,0
1621086899,0
1621086900,0
1621086901,0
1621086902,0
1621086903,0
1621086904,0
1621086905,0
1621086906,0
1621086907,0
1621086908,0
1621086909,0
1621086910,0
1621086911,0
1621086912,0
1621086913,0
1621086914,0
1621086915,0
1621086916,0
1621086917,0
1621086918,0
1621086919,0
1621086920,0
1621086921,0
1621086922,0
1621086923,0
1621086924,0
1621086925,0
1621086926,0
1621086927,0
1621086928,0
1621086929,0
1621086930,0
1621086931,0
1621086932,0
1621086933,0
1621086934,0
1621086935,0
1621086936,0
1621086937,0
1621086938,0
1621086939,0
1621086940,0
1621086941,0
1621086942,0
1621086943,0
1621086944,0
1621086945,0
1621086946,0
1621086947,0
1621086948,0
1621086949,0
1621086950,0
1621086951,0
1621086952,0
1621086953,0
1621086954,0
1621086955,0
1621086956,0
1621086957,0
1621086958,0
1621086959,0
1621086960,0
1621086961,0
1621086962,0
1621086963,0
1621086964,0
1621086965,0
1621086966,0
1621086967,0
1621086968,0
1621086969,0
1621086970,0
1621086971,0
1621086972,0
1621086973,0
1621086974,0
1621086975,0
1621086976,0
1621086977,0
1621086978,0
1621086979,0
1621086980,0
1621086981,0
1621086982,0
1621086983,0
1621086984,0
1621086985,0
1621086986,0
1621086987,0
1621086988,0
1621086989,0
1621086990,0
1621086991,0
1621086992,0
1621086993,0
1621086994,0
1621086995,0
1621086996,0
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,0
1621086653,0
1621086654,0
1621086655,0
1621086656,0
1621086657,0
1621086658,0
1621086659,0
1621086660,0
1621086661,0
1621086662,0
1621086663,0
1621086664,0
1621086665,0
1621086666,0
1621086667,0
1621086668,0
1621086669,0
1621086670,0
1621086671,0
1621086672,0
1621086673,0
1621086674,0
1621086675,0
1621086676,0
1621086677,0
1621086678,0
1621086679,0
1621086680,0
1621086681,0
1621086682,0
1621086683,0
1621086684,0
1621086685,0
1621086686,0
1621086687,0
1621086688,0
1621086689,0
1621086690,0
1621086691,0
1621086692,0
1621086693,0
1621086694,0
1621086695,0
1621086696,0
1621086697,0
1621086698,0
1621086699,0
1621086700,0
1621086701,0
1621086702,0
1621086703,0
1621086704,0
1621086705,0
1621086706,0
1621086707,0
1621086708,0
1621086709,0
1621086710,0
1621086711,0
1621086712,0
1621086713,0
1621086714,0
1621086715,0
1621086716,0
1621086717,0
1621086718,0
1621086719,0
1621086720,0
1621086721,0
1621086722,0
1621086723,0
1621086724,0
1621086725,0
1621086726,0
1621086727,0
1621086728,0
1621086729,0
1621086730,0
1621086731,0
1621086732,0
1621086733,0
1621086734,0
1621086735,0
1621086736,0
1621086737,0
1621086738,0
1621086833,0
1621086834,0
1621086835,0
1621086836,0
1621086837,0
1621086838,0
1621086839,0
1621086840,0
1621086841,0
1621086842,0
1621086843,0
1621086844,0
1621086845,0
1621086846,0
1621086847,0
1621086848,0
1621086849,0
1621086850,0
1621086851,0
1621086852,0
1621086853,0
1621086854,0
1621086855,0
1621086856,0
1621086857,0
1621086858,0
1621086859,0
1621086860,0
1621086861,0
1621086862,0
1621086863,0
1621086864,0
1621086865,0
1621086866,0
1621086867,0
1621086868,0
1621086869,0
1621086870,0
1621086871,0
1621086872,0
1621086873,0
1621086874,0
1621086875,0
1621086876,0
1621086877,0
1621086878,0
1621086879,0
1621086880,0
1621086881,0
1621086882,0
1621086883,0
1621086884,0
1621086885,0
1621086886,0
1621086887,0
1621086888,0
1621086889,0
1621086890,0
1621086891,0
1621086892,0
1621086893,0
1621086894,0
1621086895,0
1621086896,0
1621086897,0
1621086898,0
1621086899,0
1621086900,0
1621086901,0
1621086902,0
1621086903,0
1621086904,0
1621086905,0
1621086906,0
1621086907,0
1621086908,0
1621086909,0
1621086910,0
1621086911,0
1621086912,0
1621086913,0
1621086914,0
1621086915,0
1621086916,0
1621086917,0
1621086918,0
1621086919,0
1621086920,0
1621086921,0
1621086922,0
1621086923,0
1621086924,0
1621086925,0
1621086926,0
1621086927,0
1621086928,0
1621086929,0
1621086930,0
1621086931,0
1621086932,0
1621086933,0
1621086934,0
1621086935,0
1621086936,0
1621086937,0
1621086938,0
1621086939,0
1621086940,0
1621086941,0
1621086942,0
1621086943,0
1621086944,0
1621086945,0
1621086946,0
1621086947,0
1621086948,0
1621086949,0
1621086950,0
1621086951,0
1621086952,0
1621086953,0
1621086954,0
1621086955,0
