t,value
1621086944,2
1621086945,2
1621086946,1
1621086947,1
1621086948,4
1621086949,2
1621086950,0
1621086951,3
1621086952,2
1621086953,0
1621086954,2
1621086955,0
1621086956,2
1621086957,2
1621086958,1
1621086959,1
1621086960,0
1621086961,0
1621086962,1
1621086963,4
1621086964,0
1621086965,4
1621086966,1
1621086967,0
1621086968,2
1621086969,0
1621086970,1
1621086971,0
1621086972,0
1621086973,1
1621086974,0
1621086975,3
1621086976,4
1621086977,0
1621086978,4
1621086979,2
1621086980,1
1621086981,2
1621086982,1
1621086983,0
1621086984,1
1621086985,2
1621086986,4
1621086987,0
1621086988,2
1621086989,5
1621086990,2
1621086991,3
1621086992,1
1621086993,2
1621086994,0
1621086995,2
1621086996,1
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,2
1621086653,0
1621086654,2
1621086655,3
1621086656,0
1621086657,1
1621086658,3
1621086659,2
1621086660,5
1621086661,1
1621086662,0
1621086663,0
1621086664,1
1621086665,0
1621086666,0
1621086667,3
1621086668,3
1621086669,1
1621086670,1
1621086671,1
1621086672,1
1621086673,0
1621086674,3
1621086675,4
1621086676,1
1621086677,4
1621086678,4
1621086679,2
1621086680,2
1621086681,0
1621086682,0
1621086683,2
1621086684,1
1621086685,2
1621086686,0
1621086687,1
1621086688,1
1621086689,1
1621086690,1
1621086691,0
1621086692,5
1621086693,3
1621086694,5
1621086695,0
1621086696,1
1621086697,0
1621086698,1
1621086699,3
1621086700,0
1621086701,2
1621086702,0
1621086703,2
1621086704,1
1621086705,1
1621086706,2
1621086707,3
1621086708,1
1621086709,3
1621086710,2
1621086711,3
1621086712,4
1621086713,1
1621086714,0
1621086715,2
1621086716,4
1621086717,1
1621086718,0
1621086719,0
1621086720,1
1621086721,0
1621086722,4
1621086723,1
1621086724,2
1621086725,0
1621086726,2
1621086727,1
1621086728,2
1621086729,2
1621086730,1
1621086731,4
1621086732,2
1621086733,2
1621086734,4
1621086735,4
1621086736,2
1621086737,5
1621086738,0
1621086833,0
1621086834,2
1621086835,1
1621086836,2
1621086837,2
1621086838,2
1621086839,2
1621086840,3
1621086841,2
1621086842,2
1621086843,2
1621086844,0
1621086845,1
1621086846,0
1621086847,5
1621086848,0
1621086849,0
1621086850,1
1621086851,0
1621086852,3
1621086853,2
1621086854,4
1621086855,0
1621086856,1
1621086857,1
1621086858,2
1621086859,1
1621086860,2
1621086861,0
1621086862,1
1621086863,1
1621086864,4
1621086865,1
1621086866,2
1621086867,1
1621086868,1
1621086869,2
1621086870,5
1621086871,2
1621086872,3
1621086873,1
1621086874,0
1621086875,1
1621086876,5
1621086877,2
1621086878,4
1621086879,1
1621086880,0
1621086881,2
1621086882,0
1621086883,2
1621086884,2
1621086885,2
1621086886,1
1621086887,3
1621086888,1
1621086889,3
1621086890,1
1621086891,2
1621086892,3
1621086893,2
1621086894,0
1621086895,2
1621086896,3
1621086897,0
1621086898,0
1621086899,1
1621086900,2
1621086901,4
1621086902,0
1621086903,0
1621086904,0
1621086905,2
1621086906,0
1621086907,4
1621086908,0
1621086909,0
1621086910,3
1621086911,1
1621086912,4
1621086913,2
1621086914,0
1621086915,2
1621086916,3
1621086917,3
1621086918,1
1621086919,3
1621086920,3
1621086921,2
1621086922,1
1621086923,0
1621086924,0
1621086925,3
1621086926,3
1621086927,1
1621086928,1
1621086929,3
1621086930,3
1621086931,1
1621086932,3
1621086933,1
1621086934,1
1621086935,5
1621086936,1
1621086937,2
1621086938,1
1621086939,1
1621086940,2
1621086941,0
1621086942,2
1621086943,1
1621086944,2
1621086945,2
1621086946,1
1621086947,1
1621086948,4
1621086949,2
1621086950,0
1621086951,3
1621086952,2
1621086953,0
1621086954,2
1621086955,0
1621086956,2
1621086957,2
1621086958,1
1621086959,1
1621086960,0
1621086961,0
1621086962,1
1621086963,4
1621086964,0
1621086965,4
1621086966,1
1621086967,0
1621086968,2
1621086969,0
1621086970,1
1621086971,0
1621086972,0
1621086973,1
1621086974,0
1621086975,3
1621086976,4
1621086977,0
1621086978,4
1621086979,2
1621086980,1
1621086981,2
1621086982,1
1621086983,0
1621086984,1
1621086985,2
1621086986,4
1621086987,0
1621086988,2
1621086989,5
1621086990,2
1621086991,3
1621086992,1
1621086993,2
1621086994,0
1621086995,2
1621086996,1
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,2
1621086653,0
1621086654,2
1621086655,3
1621086656,0
1621086657,1
1621086658,3
1621086659,2
1621086660,5
1621086661,1
1621086662,0
1621086663,0
1621086664,1
1621086665,0
1621086666,0
1621086667,3
1621086668,3
1621086669,1
1621086670,1
1621086671,1
1621086672,1
1621086673,0
1621086674,3
1621086675,4
1621086676,1
1621086677,4
1621086678,4
1621086679,2
1621086680,2
1621086681,0
1621086682,0
1621086683,2
1621086684,1
1621086685,2
1621086686,0
1621086687,1
1621086688,1
1621086689,1
1621086690,1
1621086691,0
1621086692,5
1621086693,3
1621086694,5
1621086695,0
1621086696,1
1621086697,0
1621086698,1
1621086699,3
1621086700,0
1621086701,2
1621086702,0
1621086703,2
1621086704,1
1621086705,1
1621086706,2
1621086707,3
1621086708,1
1621086709,3
1621086710,2
1621086711,3
1621086712,4
1621086713,1
1621086714,0
1621086715,2
1621086716,4
1621086717,1
1621086718,0
1621086719,0
1621086720,1
1621086721,0
1621086722,4
1621086723,1
1621086724,2
1621086725,0
1621086726,2
1621086727,1
1621086728,2
1621086729,2
1621086730,1
1621086731,4
1621086732,2
1621086733,2
1621086734,4
1621086735,4
1621086736,2
1621086737,5
1621086738,0
1621086833,0
1621086834,2
1621086835,1
1621086836,2
1621086837,2
1621086838,2
1621086839,2
1621086840,3
1621086841,2
1621086842,2
1621086843,2
1621086844,0
1621086845,1
1621086846,0
1621086847,5
1621086848,0
1621086849,0
1621086850,1
1621086851,0
1621086852,3
1621086853,2
1621086854,4
1621086855,0
1621086856,1
1621086857,1
1621086858,2
1621086859,1
1621086860,2
1621086861,0
1621086862,1
1621086863,1
1621086864,4
1621086865,1
1621086866,2
1621086867,1
1621086868,1
1621086869,2
1621086870,5
1621086871,2
1621086872,3
1621086873,1
1621086874,0
1621086875,1
1621086876,5
1621086877,2
1621086878,4
1621086879,1
1621086880,0
1621086881,2
1621086882,0
1621086883,2
1621086884,2
1621086885,2
1621086886,1
1621086887,3
1621086888,1
1621086889,3
1621086890,1
1621086891,2
1621086892,3
1621086893,2
1621086894,0
1621086895,2
1621086896,3
1621086897,0
1621086898,0
1621086899,1
1621086900,2
1621086901,4
1621086902,0
1621086903,0
1621086904,0
1621086905,2
1621086906,0
1621086907,4
1621086908,0
1621086909,0
1621086910,3
1621086911,1
1621086912,4
1621086913,2
1621086914,0
1621086915,2
1621086916,3
1621086917,3
1621086918,1
1621086919,3
1621086920,3
1621086921,2
1621086922,1
1621086923,0
1621086924,0
1621086925,3
1621086926,3
1621086927,1
1621086928,1
1621086929,3
1621086930,3
1621086931,1
1621086932,3
1621086933,1
1621086934,1
1621086935,5
1621086936,1
1621086937,2
1621086938,1
1621086939,1
1621086940,2
1621086941,0
1621086942,2
1621086943,1
1621086944,2
1621086945,2
1621086946,1
1621086947,1
1621086948,4
1621086949,2
1621086950,0
1621086951,3
1621086952,2
1621086953,0
1621086954,2
1621086955,0
1621086956,2
1621086957,2
1621086958,1
1621086959,1
1621086960,0
1621086961,0
1621086962,1
1621086963,4
1621086964,0
1621086965,4
1621086966,1
1621086967,0
1621086968,2
1621086969,0
1621086970,1
1621086971,0
1621086972,0
1621086973,1
1621086974,0
1621086975,3
1621086976,4
1621086977,0
1621086978,4
1621086979,2
1621086980,1
1621086981,2
1621086982,1
1621086983,0
1621086984,1
1621086985,2
1621086986,4
1621086987,0
1621086988,2
1621086989,5
1621086990,2
1621086991,3
1621086992,1
1621086993,2
1621086994,0
1621086995,2
1621086996,1
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,2
1621086653,0
1621086654,2
1621086655,3
1621086656,0
1621086657,1
1621086658,3
1621086659,2
1621086660,5
1621086661,1
1621086662,0
1621086663,0
1621086664,1
1621086665,0
1621086666,0
1621086667,3
1621086668,3
1621086669,1
1621086670,1
1621086671,1
1621086672,1
1621086673,0
1621086674,3
1621086675,4
1621086676,1
1621086677,4
1621086678,4
1621086679,2
1621086680,2
1621086681,0
1621086682,0
1621086683,2
1621086684,1
1621086685,2
1621086686,0
1621086687,1
1621086688,1
1621086689,1
1621086690,1
1621086691,0
1621086692,5
1621086693,3
1621086694,5
1621086695,0
1621086696,1
1621086697,0
1621086698,1
1621086699,3
1621086700,0
1621086701,2
1621086702,0
1621086703,2
1621086704,1
1621086705,1
1621086706,2
1621086707,3
1621086708,1
1621086709,3
1621086710,2
1621086711,3
1621086712,4
1621086713,1
1621086714,0
1621086715,2
1621086716,4
1621086717,1
1621086718,0
1621086719,0
1621086720,1
1621086721,0
1621086722,4
1621086723,1
1621086724,2
1621086725,0
1621086726,2
1621086727,1
1621086728,2
1621086729,2
1621086730,1
1621086731,4
1621086732,2
1621086733,2
1621086734,4
1621086735,4
1621086736,2
1621086737,5
1621086738,0
1621086833,0
1621086834,2
1621086835,1
1621086836,2
1621086837,2
1621086838,2
1621086839,2
1621086840,3
1621086841,2
1621086842,2
1621086843,2
1621086844,0
1621086845,1
1621086846,0
1621086847,5
1621086848,0
1621086849,0
1621086850,1
1621086851,0
1621086852,3
1621086853,2
1621086854,4
1621086855,0
1621086856,1
1621086857,1
1621086858,2
1621086859,1
1621086860,2
1621086861,0
1621086862,1
1621086863,1
1621086864,4
1621086865,1
1621086866,2
1621086867,1
1621086868,1
1621086869,2
1621086870,5
1621086871,2
1621086872,3
1621086873,1
1621086874,0
1621086875,1
1621086876,5
1621086877,2
1621086878,4
1621086879,1
1621086880,0
1621086881,2
1621086882,0
1621086883,2
1621086884,2
1621086885,2
1621086886,1
1621086887,3
1621086888,1
1621086889,3
1621086890,1
1621086891,2
1621086892,3
1621086893,2
1621086894,0
1621086895,2
1621086896,3
1621086897,0
1621086898,0
1621086899,1
1621086900,2
1621086901,4
1621086902,0
1621086903,0
1621086904,0
1621086905,2
1621086906,0
1621086907,4
1621086908,0
1621086909,0
1621086910,3
1621086911,1
1621086912,4
1621086913,2
1621086914,0
1621086915,2
1621086916,3
1621086917,3
1621086918,1
1621086919,3
1621086920,3
1621086921,2
1621086922,1
1621086923,0
1621086924,0
1621086925,3
1621086926,3
1621086927,1
1621086928,1
1621086929,3
1621086930,3
1621086931,1
1621086932,3
1621086933,1
1621086934,1
1621086935,5
1621086936,1
1621086937,2
1621086938,1
1621086939,1
1621086940,2
1621086941,0
1621086942,2
1621086943,1
1621086944,2
1621086945,2
1621086946,1
1621086947,1
1621086948,4
1621086949,2
1621086950,0
1621086951,3
1621086952,2
1621086953,0
1621086954,2
1621086955,0
1621086956,2
1621086957,2
1621086958,1
1621086959,1
1621086960,0
1621086961,0
1621086962,1
1621086963,4
1621086964,0
1621086965,4
1621086966,1
1621086967,0
1621086968,2
1621086969,0
1621086970,1
1621086971,0
1621086972,0
1621086973,1
1621086974,0
1621086975,3
1621086976,4
1621086977,0
1621086978,4
1621086979,2
1621086980,1
1621086981,2
1621086982,1
1621086983,0
1621086984,1
1621086985,2
1621086986,4
1621086987,0
1621086988,2
1621086989,5
1621086990,2
1621086991,3
1621086992,1
1621086993,2
1621086994,0
1621086995,2
1621086996,1
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,2
1621086653,0
1621086654,2
1621086655,3
1621086656,0
1621086657,1
1621086658,3
1621086659,2
1621086660,5
1621086661,1
1621086662,0
1621086663,0
1621086664,1
1621086665,0
1621086666,0
1621086667,3
1621086668,3
1621086669,1
1621086670,1
1621086671,1
1621086672,1
1621086673,0
1621086674,3
1621086675,4
1621086676,1
1621086677,4
1621086678,4
1621086679,2
1621086680,2
1621086681,0
1621086682,0
1621086683,2
1621086684,1
1621086685,2
1621086686,0
1621086687,1
1621086688,1
1621086689,1
1621086690,1
1621086691,0
1621086692,5
1621086693,3
1621086694,5
1621086695,0
1621086696,1
1621086697,0
1621086698,1
1621086699,3
1621086700,0
1621086701,2
1621086702,0
1621086703,2
1621086704,1
1621086705,1
1621086706,2
1621086707,3
1621086708,1
1621086709,3
1621086710,2
1621086711,3
1621086712,4
1621086713,1
1621086714,0
1621086715,2
1621086716,4
1621086717,1
1621086718,0
1621086719,0
1621086720,1
1621086721,0
1621086722,4
1621086723,1
1621086724,2
1621086725,0
1621086726,2
1621086727,1
1621086728,2
1621086729,2
1621086730,1
1621086731,4
1621086732,2
1621086733,2
1621086734,4
1621086735,4
1621086736,2
1621086737,5
1621086738,0
1621086833,0
1621086834,2
1621086835,1
1621086836,2
1621086837,2
1621086838,2
1621086839,2
1621086840,3
1621086841,2
1621086842,2
1621086843,2
1621086844,0
1621086845,1
1621086846,0
1621086847,5
1621086848,0
1621086849,0
1621086850,1
1621086851,0
1621086852,3
1621086853,2
1621086854,4
1621086855,0
1621086856,1
1621086857,1
1621086858,2
1621086859,1
1621086860,2
1621086861,0
1621086862,1
1621086863,1
1621086864,4
1621086865,1
1621086866,2
1621086867,1
1621086868,1
1621086869,2
1621086870,5
1621086871,2
1621086872,3
1621086873,1
1621086874,0
1621086875,1
1621086876,5
1621086877,2
1621086878,4
1621086879,1
1621086880,0
1621086881,2
1621086882,0
1621086883,2
1621086884,2
1621086885,2
1621086886,1
1621086887,3
1621086888,1
1621086889,3
1621086890,1
1621086891,2
1621086892,3
1621086893,2
1621086894,0
1621086895,2
1621086896,3
1621086897,0
1621086898,0
1621086899,1
1621086900,2
1621086901,4
1621086902,0
1621086903,0
1621086904,0
1621086905,2
1621086906,0
1621086907,4
1621086908,0
1621086909,0
1621086910,3
1621086911,1
1621086912,4
1621086913,2
1621086914,0
1621086915,2
1621086916,3
1621086917,3
1621086918,1
1621086919,3
1621086920,3
1621086921,2
1621086922,1
1621086923,0
1621086924,0
1621086925,3
1621086926,3
1621086927,1
1621086928,1
1621086929,3
1621086930,3
1621086931,1
1621086932,3
1621086933,1
1621086934,1
1621086935,5
1621086936,1
1621086937,2
1621086938,1
1621086939,1
1621086940,2
1621086941,0
1621086942,2
1621086943,1
1621086944,2
1621086945,2
1621086946,1
1621086947,1
1621086948,4
1621086949,2
1621086950,0
1621086951,3
1621086952,2
1621086953,0
1621086954,2
1621086955,0
1621086956,2
1621086957,2
1621086958,1
1621086959,1
1621086960,0
1621086961,0
1621086962,1
1621086963,4
1621086964,0
1621086965,4
1621086966,1
1621086967,0
1621086968,2
1621086969,0
1621086970,1
1621086971,0
1621086972,0
1621086973,1
1621086974,0
1621086975,3
1621086976,4
1621086977,0
1621086978,4
1621086979,2
1621086980,1
1621086981,2
1621086982,1
1621086983,0
1621086984,1
1621086985,2
1621086986,4
1621086987,0
1621086988,2
1621086989,5
1621086990,2
1621086991,3
1621086992,1
1621086993,2
1621086994,0
1621086995,2
1621086996,1
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,2
1621086653,0
1621086654,2
1621086655,3
1621086656,0
1621086657,1
1621086658,3
1621086659,2
1621086660,5
1621086661,1
1621086662,0
1621086663,0
1621086664,1
1621086665,0
1621086666,0
1621086667,3
1621086668,3
1621086669,1
1621086670,1
1621086671,1
1621086672,1
1621086673,0
1621086674,3
1621086675,4
1621086676,1
1621086677,4
1621086678,4
1621086679,2
1621086680,2
1621086681,0
1621086682,0
1621086683,2
1621086684,1
1621086685,2
1621086686,0
1621086687,1
1621086688,1
1621086689,1
1621086690,1
1621086691,0
1621086692,5
1621086693,3
1621086694,5
1621086695,0
1621086696,1
1621086697,0
1621086698,1
1621086699,3
1621086700,0
1621086701,2
1621086702,0
1621086703,2
1621086704,1
1621086705,1
1621086706,2
1621086707,3
1621086708,1
1621086709,3
1621086710,2
1621086711,3
1621086712,4
1621086713,1
1621086714,0
1621086715,2
1621086716,4
1621086717,1
1621086718,0
1621086719,0
1621086720,1
1621086721,0
1621086722,4
1621086723,1
1621086724,2
1621086725,0
1621086726,2
1621086727,1
1621086728,2
1621086729,2
1621086730,1
1621086731,4
1621086732,2
1621086733,2
1621086734,4
1621086735,4
1621086736,2
1621086737,5
1621086738,0
1621086833,0
1621086834,2
1621086835,1
1621086836,2
1621086837,2
1621086838,2
1621086839,2
1621086840,3
1621086841,2
1621086842,2
1621086843,2
1621086844,0
1621086845,1
1621086846,0
1621086847,5
1621086848,0
1621086849,0
1621086850,1
1621086851,0
1621086852,3
1621086853,2
1621086854,4
1621086855,0
1621086856,1
1621086857,1
1621086858,2
1621086859,1
1621086860,2
1621086861,0
1621086862,1
1621086863,1
1621086864,4
1621086865,1
1621086866,2
1621086867,1
1621086868,1
1621086869,2
1621086870,5
1621086871,2
1621086872,3
1621086873,1
1621086874,0
1621086875,1
1621086876,5
1621086877,2
1621086878,4
1621086879,1
1621086880,0
1621086881,2
1621086882,0
1621086883,2
1621086884,2
1621086885,2
1621086886,1
1621086887,3
1621086888,1
1621086889,3
1621086890,1
1621086891,2
1621086892,3
1621086893,2
1621086894,0
1621086895,2
1621086896,3
1621086897,0
1621086898,0
1621086899,1
1621086900,2
1621086901,4
1621086902,0
1621086903,0
1621086904,0
1621086905,2
1621086906,0
1621086907,4
1621086908,0
1621086909,0
1621086910,3
1621086911,1
1621086912,4
1621086913,2
1621086914,0
1621086915,2
1621086916,3
1621086917,3
1621086918,1
1621086919,3
1621086920,3
1621086921,2
1621086922,1
1621086923,0
1621086924,0
1621086925,3
1621086926,3
1621086927,1
1621086928,1
1621086929,3
1621086930,3
1621086931,1
1621086932,3
1621086933,1
1621086934,1
1621086935,5
1621086936,1
1621086937,2
1621086938,1
1621086939,1
1621086940,2
1621086941,0
1621086942,2
1621086943,1
1621086944,2
1621086945,2
1621086946,1
1621086947,1
1621086948,4
1621086949,2
1621086950,0
1621086951,3
1621086952,2
1621086953,0
1621086954,2
1621086955,0
1621086956,2
1621086957,2
1621086958,1
1621086959,1
1621086960,0
1621086961,0
1621086962,1
1621086963,4
1621086964,0
1621086965,4
1621086966,1
1621086967,0
1621086968,2
1621086969,0
1621086970,1
1621086971,0
1621086972,0
1621086973,1
1621086974,0
1621086975,3
1621086976,4
1621086977,0
1621086978,4
1621086979,2
1621086980,1
1621086981,2
1621086982,1
1621086983,0
1621086984,1
1621086985,2
1621086986,4
1621086987,0
1621086988,2
1621086989,5
1621086990,2
1621086991,3
1621086992,1
1621086993,2
1621086994,0
1621086995,2
1621086996,1
1621086997,0
1621086649,0
1621086650,0
1621086651,0
1621086652,2
1621086653,0
1621086654,2
1621086655,3
1621086656,0
1621086657,1
1621086658,3
1621086659,2
1621086660,5
1621086661,1
1621086662,0
1621086663,0
1621086664,1
1621086665,0
1621086666,0
1621086667,3
1621086668,3
1621086669,1
1621086670,1
1621086671,1
1621086672,1
1621086673,0
1621086674,3
1621086675,4
1621086676,1
1621086677,4
1621086678,4
1621086679,2
1621086680,2
1621086681,0
1621086682,0
1621086683,2
1621086684,1
1621086685,2
1621086686,0
1621086687,1
1621086688,1
1621086689,1
1621086690,1
1621086691,0
1621086692,5
1621086693,3
1621086694,5
1621086695,0
1621086696,1
1621086697,0
1621086698,1
1621086699,3
1621086700,0
1621086701,2
1621086702,0
1621086703,2
1621086704,1
1621086705,1
1621086706,2
1621086707,3
1621086708,1
1621086709,3
1621086710,2
1621086711,3
1621086712,4
1621086713,1
1621086714,0
1621086715,2
1621086716,4
1621086717,1
1621086718,0
1621086719,0
1621086720,1
1621086721,0
1621086722,4
1621086723,1
1621086724,2
1621086725,0
1621086726,2
1621086727,1
1621086728,2
1621086729,2
1621086730,1
1621086731,4
1621086732,2
1621086733,2
1621086734,4
1621086735,4
1621086736,2
1621086737,5
1621086738,0
1621086833,0
1621086834,2
1621086835,1
1621086836,2
1621086837,2
1621086838,2
1621086839,2
1621086840,3
1621086841,2
1621086842,2
1621086843,2
1621086844,0
1621086845,1
1621086846,0
1621086847,5
1621086848,0
1621086849,0
1621086850,1
1621086851,0
1621086852,3
1621086853,2
1621086854,4
1621086855,0
1621086856,1
1621086857,1
1621086858,2
1621086859,1
1621086860,2
1621086861,0
1621086862,1
1621086863,1
1621086864,4
1621086865,1
1621086866,2
1621086867,1
1621086868,1
1621086869,2
1621086870,5
1621086871,2
1621086872,3
1621086873,1
1621086874,0
1621086875,1
1621086876,5
1621086877,2
1621086878,4
1621086879,1
1621086880,0
1621086881,2
1621086882,0
1621086883,2
1621086884,2
1621086885,2
1621086886,1
1621086887,3
1621086888,1
1621086889,3
1621086890,1
1621086891,2
1621086892,3
1621086893,2
1621086894,0
1621086895,2
1621086896,3
1621086897,0
1621086898,0
1621086899,1
1621086900,2
1621086901,4
1621086902,0
1621086903,0
1621086904,0
1621086905,2
1621086906,0
1621086907,4
1621086908,0
1621086909,0
1621086910,3
1621086911,1
1621086912,4
1621086913,2
1621086914,0
1621086915,2
1621086916,3
1621086917,3
1621086918,1
1621086919,3
1621086920,3
1621086921,2
1621086922,1
1621086923,0
1621086924,0
1621086925,3
1621086926,3
1621086927,1
1621086928,1
1621086929,3
1621086930,3
1621086931,1
1621086932,3
1621086933,1
1621086934,1
1621086935,5
1621086936,1
1621086937,2
1621086938,1
1621086939,1
1621086940,2
1621086941,0
1621086942,2
1621086943,1
1621086944,2
1621086945,2
1621086946,1
1621086947,1
1621086948,4
1621086949,2
1621086950,0
1621086951,3
1621086952,2
1621086953,0
1621086954,2
1621086955,0
